# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  135       5.235917697331e-10       1.630673445610e-13      -5.911540552463e-12       6.652972372970e-15       4.506567051521e-12       7.423254895954e-13      -4.786978551901e-15 
  136       5.280917672390e-10       1.631857585274e-13      -5.952307793774e-12       6.526427634972e-15       4.414240964958e-12       7.306468971805e-13      -4.718291690610e-15 
  137       5.325926092948e-10       1.632351282796e-13      -5.990752304179e-12       6.400733255147e-15       4.324075177226e-12       7.192414164649e-13      -4.651548633390e-15 
  138       5.370931272985e-10       1.632155107797e-13      -6.026817027781e-12       6.275991732334e-15       4.236044449405e-12       7.081053570170e-13      -4.586701198187e-15 
  139       5.415923014005e-10       1.631270676968e-13      -6.060446350831e-12       6.152301405216e-15       4.150156518573e-12       6.972363001457e-13      -4.523628665992e-15 
  140       5.460890407701e-10       1.629700464894e-13      -6.091585330934e-12       6.029757700976e-15       4.066410784183e-12       6.866305203454e-13      -4.462195789940e-15 
  141       5.505821818994e-10       1.627447821376e-13      -6.120179726748e-12       5.908453008180e-15       3.984798090033e-12       6.762829526015e-13      -4.402252475966e-15 
  142       5.550704869079e-10       1.624516988741e-13      -6.146176027688e-12       5.788476549672e-15       3.905300506245e-12       6.661871596964e-13      -4.343633463454e-15 
  143       5.595526418465e-10       1.620913119164e-13      -6.169521483623e-12       5.669914255462e-15       3.827891111233e-12       6.563352995151e-13      -4.286158005898e-15 
  144       5.640272550024e-10       1.616642291982e-13      -6.190164134577e-12       5.552848635611e-15       3.752533773682e-12       6.467180923512e-13      -4.229629551553e-15 
  145       5.684928552029e-10       1.611711531012e-13      -6.208052840426e-12       5.437358653124e-15       3.679182934518e-12       6.373247882122e-13      -4.173835424091e-15 
  146       5.729478901202e-10       1.606128821868e-13      -6.223137310605e-12       5.323519596834e-15       3.607783388884e-12       6.281431341256e-13      -4.118546503256e-15 
  147       5.773907245753e-10       1.599903129277e-13      -6.235368133797e-12       5.211402954298e-15       3.538270068113e-12       6.191593414446e-13      -4.063516905515e-15 
  148       5.818196388428e-10       1.593044414395e-13      -6.244696807645e-12       5.101076284678e-15       3.470567821699e-12       6.103580531535e-13      -4.008483664719e-15 
  149       5.862328269550e-10       1.585563652127e-13      -6.251075768442e-12       4.992603091637e-15       3.404591199278e-12       6.017223111742e-13      -3.953166412753e-15 
  150       5.906283950061e-10       1.577472848441e-13      -6.254458420835e-12       4.886042696220e-15       3.340244232593e-12       5.932335236711e-13      -3.897267060191e-15 
  151       5.950043594569e-10       1.568785057684e-13      -6.254799167526e-12       4.781450109751e-15       3.277420217475e-12       5.848714323573e-13      -3.840469476951e-15 
  152       5.993586454391e-10       1.559514399903e-13      -6.252053438971e-12       4.678875906715e-15       3.216001495813e-12       5.766140798004e-13      -3.782439172952e-15 
  153       6.036892741075e-10       1.549675849586e-13      -6.246178462928e-12       4.578368491777e-15       3.155883782920e-12       5.684428571572e-13      -3.722904475163e-15 
  154       6.079949478598e-10       1.539284543364e-13      -6.237135591087e-12       4.479981405410e-15       3.097052152525e-12       5.603582440536e-13      -3.661909219946e-15 
  155       6.122745165254e-10       1.528356440689e-13      -6.224888246304e-12       4.383766458037e-15       3.039511730789e-12       5.523654759984e-13      -3.599583045669e-15 
  156       6.165267924796e-10       1.516908562636e-13      -6.209401235373e-12       4.289771282967e-15       2.983263693357e-12       5.444695886618e-13      -3.536062101897e-15 
  157       6.207505499099e-10       1.504959008062e-13      -6.190640782497e-12       4.198039221480e-15       2.928305172332e-12       5.366754110559e-13      -3.471489145099e-15 
  158       6.249445240837e-10       1.492526969755e-13      -6.168574562750e-12       4.108609207908e-15       2.874629163265e-12       5.289875587143e-13      -3.406013634361e-15 
  159       6.291074106152e-10       1.479632750587e-13      -6.143171735550e-12       4.021515654716e-15       2.822224432135e-12       5.214104268727e-13      -3.339791827097e-15 
  160       6.332378647327e-10       1.466297779666e-13      -6.114402978125e-12       3.936788337584e-15       2.771075422328e-12       5.139481836486e-13      -3.272986874762e-15 
  161       6.373345005456e-10       1.452544628492e-13      -6.082240518981e-12       3.854452280490e-15       2.721162161624e-12       5.066047632217e-13      -3.205768918561e-15 
